Id,Designator,Package,Quantity,Designation,Unit (Rp),Price (Rp),Supplier and ref
1,BATT-IN1,AK300-2,1,CONN_01X02,4000,4000,
2,C-PWR1,C_0805_HandSoldering,1,1nF,,,
3,"C1,C2,C3",C_0805_HandSoldering,3,C,,,
4,DS1,AG12864E,1,AG12864E,,,
5,"J-BootSel1,J-Sensor1,J-Sensor2,J-VSensor1,P-LASER1",Pin_Header_Straight_1x03_Pitch2.54mm,5,CONN_01X03,,,
6,J-OA-Sensor1,Pin_Header_Straight_1x04_Pitch2.54mm,1,CONN_01X04,,,
7,L-PWR1,SELF-WE-PD-XXL,1,100uH,,,
8,LED-PWR1,LED_0805,1,LED,,,
9,"P1,P2",USB_Mini-B,2,USB_OTG,,,
10,R-LED1,R_0805_HandSoldering,1,330,,,
11,"R-PWR1,R-PWR4",R_0805_HandSoldering,2,180,,,
12,R-PWR2,R_0805_HandSoldering,1,12K,,,
13,R-PWR3,R_0805_HandSoldering,1,3K9,,,
14,R-RST1,R_0805_HandSoldering,1,R,,,
15,"R-Sensor1,R-Sensor3",R_0805_HandSoldering,2,10K,,,
16,"R-Sensor2,R-Sensor4",R_0805_HandSoldering,2,1K,,,
17,RV1,Potentiometer_Trimmer-EVM3E,1,POT,,,
18,"SW-LASER1,SW-PWR1,SW-RST1",AK300-2,3,SW_Push,,,
19,U-BATT1,SOIC-8_3.9x4.9mm_Pitch1.27mm,1,MC33063/MC34063D_SO08,,,
20,U1,LQFP-100_14x14mm_Pitch0.5mm,1,STM32F407VGTx,,,
21,U2,MSOP-10_3x3mm_Pitch0.5mm,1,H28,,,
22,U3,TSSOP-28_4.4x9.7mm_Pitch0.65mm,1,FT232RL,,,
23,D-LASER2,D_MELF_Handsoldering,1,D,,,
24,"P-PWR1,P-USB1",Pin_Header_Straight_1x02_Pitch2.54mm,2,CONN_01X02,,,
25,CP-PWR1,CP_Elec_4x5.3,1,100uF,,,
26,CP-PWR2,CP_Elec_4x5.3,1,10uF,,,
27,D-LASER1,D_SMB_Standard,1,D,,,
28,D-PWR1,D_SMB_Standard,1,D_Schottky,,,
