Id,Designator,Package,Quantity,Designation,Shipment,URL,Retail,Piece,Prize
1,SW-PWR1,DIP02YL,1,SW_DIP_x02,LOCAL,http://sfe-electronics.com/variable-resistor/3588-10k-3303-smd-trimpot.html,1,"Rp3,000.00","Rp3,000.00"
2,"C-LOOP1,C-LOOP2,C-REF1,C-REF2",C_0805_HandSoldering,4,0.1uF,LOCAL,http://sfe-electronics.com/capacitor/2146-1uf-smd0805-capacitor.html,10,Rp75.00,"Rp3,000.00"
3,D-LASER1,MELF_Handsoldering,1,D,LOCAL,-,,,Rp0.00
4,D-LASER2,SMB_Handsoldering,1,D,LOCAL,-,,,Rp0.00
5,LED1,LED_0805,1,LED,LOCAL,http://sfe-electronics.com/display/2863-smd0805-green-led.html,2,Rp500.00,"Rp1,000.00"
6,"P-IN1,P-IN2,P-LASER1",Pin_Header_Straight_1x03,3,CONN_01X03,LOCAL,-,1,"Rp4,000.00","Rp12,000.00"
7,P-PIN1,Pin_Header_Straight_2x23,1,CONN_02X23,LOCAL,-,1,"Rp8,000.00","Rp8,000.00"
8,"R-IN-PLUS1,R-IN-PLUS2,R-INMIN1,R-INMIN2,R-INPLUS1,R-INPLUS2",R_0805_HandSoldering,10,10K,LOCAL,http://sfe-electronics.com/resistor/898-10k-ohm-smd0805-resistor.html,1,Rp50.00,Rp500.00
9,R-LED1,R_0805_HandSoldering,1,330,LOCAL,http://sfe-electronics.com/resistor/883-330-ohm-smd0805-resistor.html,10,Rp50.00,Rp500.00
10,"RV-GAIN1,RV-GAIN2,RV-REF1,RV-REF2,RV-LOOP1,RV-LOOP2",Potentiometer_Trimmer-EVM3E,6,10K,LOCAL,http://sfe-electronics.com/variable-resistor/3588-10k-3303-smd-trimpot.html,1,"Rp3,000.00","Rp18,000.00"
11,"U1,U2",SOIC-8_3.9x4.9mm_Pitch1.27mm,2,AD620,LOCAL,http://sfe-electronics.com/integrated-circuit/1943-opa344ua.html,1,"Rp22,500.00","Rp45,000.00"
12,CZ miniSTM32F103V_-EK,Development Board,1,Main-Board,IMPORT,http://www.aliexpress.com/item/FREE-SHIPPING-ARM-Cortex-M3-mini-stm32-stm32F103VEt6-Cortex-development-board-72MHz-512KFlash-64KRAM/32216480157.html,1,$10.92,$10.92
13,2.8” LCD TFT,LCD TFT,1,Display,IMPORT,https://www.aliexpress.com/store/product/2-8-inch-Inch-TFT-LCD-Module-MINI-stm32-Core-Board-Supporting-screen-320x240-with-Touch/438302_1830633227.html,1,$13.80,$13.80
